time,request_rate,pods,cpu,memory,latency,prob_30s,prob_60s,action,reason,spike_desc,latency_violation,cpu_overload
0,45.0,4,23.5,18.6875,69.16732717928961,0.0046618404,0.0029443435,SCALE_DOWN,Low spike probability (0.00) + Low CPU (20.0%),✅ NORMAL LOAD - 45 req/s,False,False
1,45.0,4,23.5,18.6875,71.93905644124017,0.0048165224,0.0025279736,HOLD,In cooldown (9s remaining),✅ NORMAL LOAD - 45 req/s,False,False
2,45.0,4,23.5,18.6875,67.02469117481476,0.008049658,0.0039827693,HOLD,In cooldown (8s remaining),✅ NORMAL LOAD - 45 req/s,False,False
3,45.0,4,23.5,18.6875,69.74664872351639,0.0048165224,0.0025279736,HOLD,In cooldown (7s remaining),✅ NORMAL LOAD - 45 req/s,False,False
4,45.0,4,23.5,18.6875,69.77979848104167,0.0047881706,0.0025748743,HOLD,In cooldown (6s remaining),✅ NORMAL LOAD - 45 req/s,False,False
5,45.0,4,23.5,18.6875,70.43023483590672,0.006656002,0.0033033846,HOLD,In cooldown (5s remaining),✅ NORMAL LOAD - 45 req/s,False,False
6,45.0,4,23.5,18.6875,70.8094945371074,0.003252558,0.0033859096,HOLD,In cooldown (4s remaining),✅ NORMAL LOAD - 45 req/s,False,False
7,45.0,4,23.5,18.6875,69.19510346313393,0.0048274235,0.0030214563,HOLD,In cooldown (3s remaining),✅ NORMAL LOAD - 45 req/s,False,False
8,45.0,4,23.5,18.6875,65.7383389161137,0.004516228,0.0030772667,HOLD,In cooldown (2s remaining),✅ NORMAL LOAD - 45 req/s,False,False
9,45.0,4,23.5,18.6875,69.28945156878713,0.0047881706,0.0026857788,HOLD,In cooldown (1s remaining),✅ NORMAL LOAD - 45 req/s,False,False
10,45.0,4,23.5,18.6875,69.79067396211065,0.006940682,0.003520868,HOLD,In cooldown (0s remaining),✅ NORMAL LOAD - 45 req/s,False,False
11,45.0,3,28.0,22.25,74.43606026834391,0.0044492288,0.002634107,SCALE_DOWN,Low spike probability (0.00) + Low CPU (23.5%),✅ NORMAL LOAD - 45 req/s,False,False
12,45.0,3,28.0,22.25,73.37860341791297,0.0047881706,0.0025748743,HOLD,In cooldown (9s remaining),✅ NORMAL LOAD - 45 req/s,False,False
13,45.0,3,28.0,22.25,72.18731314384216,0.0051970542,0.002845248,HOLD,In cooldown (8s remaining),✅ NORMAL LOAD - 45 req/s,False,False
14,45.0,3,28.0,22.25,71.42776245949794,0.005600909,0.00308851,HOLD,In cooldown (7s remaining),✅ NORMAL LOAD - 45 req/s,False,False
15,45.0,3,28.0,22.25,73.72142566700117,0.004365606,0.0030721698,HOLD,In cooldown (6s remaining),✅ NORMAL LOAD - 45 req/s,False,False
16,45.0,3,28.0,22.25,72.65024958499686,0.0056481822,0.0034241844,HOLD,In cooldown (5s remaining),✅ NORMAL LOAD - 45 req/s,False,False
17,45.0,3,28.0,22.25,75.6023470096977,0.004516228,0.0029877767,HOLD,In cooldown (4s remaining),✅ NORMAL LOAD - 45 req/s,False,False
18,45.0,3,28.0,22.25,73.78983683689923,0.0047881706,0.0025138394,HOLD,In cooldown (3s remaining),✅ NORMAL LOAD - 45 req/s,False,False
19,45.0,3,28.0,22.25,69.39791655918825,0.005613575,0.003218506,HOLD,In cooldown (2s remaining),✅ NORMAL LOAD - 45 req/s,False,False
20,45.0,3,28.0,22.25,70.45857589902845,0.004828617,0.0027872305,HOLD,In cooldown (1s remaining),✅ NORMAL LOAD - 45 req/s,False,False
21,45.0,3,28.0,22.25,75.07932703955285,0.0039917207,0.0030721698,HOLD,In cooldown (0s remaining),✅ NORMAL LOAD - 45 req/s,False,False
22,45.0,2,37.0,29.375,78.62239953623326,0.005600909,0.00308851,SCALE_DOWN,Low spike probability (0.01) + Low CPU (28.0%) [HIT MIN LIMIT],✅ NORMAL LOAD - 45 req/s,False,False
23,45.0,2,37.0,29.375,78.71264839354399,0.0047951736,0.0036170718,HOLD,In cooldown (9s remaining),✅ NORMAL LOAD - 45 req/s,False,False
24,45.0,2,37.0,29.375,82.44435772247859,0.004534838,0.0028529356,HOLD,In cooldown (8s remaining),✅ NORMAL LOAD - 45 req/s,False,False
25,45.0,2,37.0,29.375,77.35166960289926,0.0038864808,0.0040218285,HOLD,In cooldown (7s remaining),✅ NORMAL LOAD - 45 req/s,False,False
26,45.0,2,37.0,29.375,80.52754490415381,0.0048914505,0.002517538,HOLD,In cooldown (6s remaining),✅ NORMAL LOAD - 45 req/s,False,False
27,45.0,2,37.0,29.375,76.71720275409011,0.0055548777,0.0027032695,HOLD,In cooldown (5s remaining),✅ NORMAL LOAD - 45 req/s,False,False
28,45.0,2,37.0,29.375,77.44518667704855,0.004828617,0.0027872305,HOLD,In cooldown (4s remaining),✅ NORMAL LOAD - 45 req/s,False,False
29,45.0,2,37.0,29.375,81.24454366846152,0.0048876875,0.0025217875,HOLD,In cooldown (3s remaining),✅ NORMAL LOAD - 45 req/s,False,False
30,45.0,2,37.0,29.375,79.24206250804853,0.0047990074,0.0025156634,HOLD,In cooldown (2s remaining),✅ NORMAL LOAD - 45 req/s,False,False
31,45.0,2,37.0,29.375,78.60126068714032,0.0068397596,0.0030329218,HOLD,In cooldown (1s remaining),✅ NORMAL LOAD - 45 req/s,False,False
32,45.0,2,37.0,29.375,79.32539999875009,0.005600909,0.0032471316,HOLD,In cooldown (0s remaining),✅ NORMAL LOAD - 45 req/s,False,False
