time,request_rate,pods,cpu,memory,latency,prob_30s,prob_60s,action,reason,spike_desc,latency_violation,cpu_overload
0,32.26377337767688,4,19.67913201330306,15.662646177198258,67.12194355728042,0.0037050238,0.0052202693,SCALE_DOWN,Low spike probability (0.00) + Low CPU (20.0%),✅ NORMAL LOAD - 32 req/s,False,False
1,32.37397089247603,4,19.71219126774281,15.688818086963057,62.84402205495857,0.0036477125,0.005781507,HOLD,In cooldown (9s remaining),✅ NORMAL LOAD - 32 req/s,False,False
2,33.19743151958244,4,19.95922945587473,15.884389985900828,67.74786326332185,0.0061923596,0.0067892564,HOLD,In cooldown (8s remaining),✅ NORMAL LOAD - 33 req/s,False,False
3,31.928400832941367,4,19.57852024988241,15.582995197823575,63.28066630422911,0.0034873858,0.0074143857,HOLD,In cooldown (7s remaining),✅ NORMAL LOAD - 32 req/s,False,False
4,29.86651249192863,4,18.959953747578588,15.093296716833049,68.2265535587114,0.003353965,0.0053834314,HOLD,In cooldown (6s remaining),💤 LOW LOAD - 30 req/s,False,False
5,24.94833357069251,4,17.48450007120775,13.92522922303947,64.27906776170562,0.008916439,0.009776585,HOLD,In cooldown (5s remaining),💤 LOW LOAD - 25 req/s,False,False
6,36.67254971108319,4,21.001764913324955,16.709730556382258,63.962259880057495,0.0019568913,0.006060784,HOLD,In cooldown (4s remaining),✅ NORMAL LOAD - 37 req/s,False,False
7,27.09926121471868,4,18.129778364415603,14.436074538495685,66.75748617053733,0.007260458,0.008521123,HOLD,In cooldown (3s remaining),💤 LOW LOAD - 27 req/s,False,False
8,20.0,4,16.0,12.75,65.38243060691704,0.10609255,0.0640011,HOLD,In cooldown (2s remaining),💤 LOW LOAD - 20 req/s,False,False
9,34.580607712852576,4,20.374182313855773,16.212894331802488,67.30421545323627,0.002662766,0.007235572,HOLD,In cooldown (1s remaining),✅ NORMAL LOAD - 35 req/s,False,False
10,39.987693863420056,4,21.996308159026015,17.497077292562263,68.53493462601924,0.0034157983,0.0058984174,HOLD,In cooldown (0s remaining),✅ NORMAL LOAD - 40 req/s,False,False
11,20.0,3,18.0,14.333333333333332,67.97518193686231,0.121149406,0.055233527,SCALE_DOWN,Low spike probability (0.12) + Low CPU (22.0%),💤 LOW LOAD - 20 req/s,False,False
12,29.005066791066252,3,21.6020267164265,17.18493781717098,66.86480039533882,0.005588155,0.0066203144,HOLD,In cooldown (9s remaining),💤 LOW LOAD - 29 req/s,False,False
13,36.93300807432942,3,24.77320322973177,19.695452556870983,74.30740003524541,0.00399667,0.005235734,HOLD,In cooldown (8s remaining),✅ NORMAL LOAD - 37 req/s,False,False
14,28.697751932936097,3,21.479100773174437,17.087621445429765,67.37108327540633,0.006248841,0.007479799,HOLD,In cooldown (7s remaining),💤 LOW LOAD - 29 req/s,False,False
15,25.86910301354776,3,20.3476412054191,16.19188262095679,64.12993465048719,0.010729108,0.007882343,HOLD,In cooldown (6s remaining),💤 LOW LOAD - 26 req/s,False,False
16,32.80358934606629,3,23.121435738426513,18.387803292920992,65.96458991918712,0.0051165856,0.006195509,HOLD,In cooldown (5s remaining),✅ NORMAL LOAD - 33 req/s,False,False
17,37.439790885660415,3,24.975916354264164,19.855933780459132,73.87720664326744,0.0040520993,0.006452488,HOLD,In cooldown (4s remaining),✅ NORMAL LOAD - 37 req/s,False,False
18,33.08788721894656,3,23.235154887578624,18.47783095266641,69.64356445530737,0.009744282,0.0077621955,HOLD,In cooldown (3s remaining),✅ NORMAL LOAD - 33 req/s,False,False
19,35.26291567936843,3,24.105166271747372,19.166589965133337,73.34090838067652,0.0047444883,0.0051736403,HOLD,In cooldown (2s remaining),✅ NORMAL LOAD - 35 req/s,False,False
20,25.342639003972916,3,20.137055601589168,16.025169017924757,69.31517423224857,0.009978622,0.0057905535,HOLD,In cooldown (1s remaining),💤 LOW LOAD - 25 req/s,False,False
21,28.862411369213564,3,21.544964547685424,17.13976360025096,66.73298791004078,0.0055633443,0.007691723,HOLD,In cooldown (0s remaining),💤 LOW LOAD - 29 req/s,False,False
22,28.00599691941427,2,26.80359815164856,21.302848536721775,70.66124884268015,0.0058270185,0.005892046,SCALE_DOWN,Low spike probability (0.01) + Low CPU (21.5%) [HIT MIN LIMIT],💤 LOW LOAD - 28 req/s,False,False
23,28.35745258493936,2,27.014471550963616,21.469789977846197,73.4226577096989,0.006713787,0.005899782,HOLD,In cooldown (9s remaining),💤 LOW LOAD - 28 req/s,False,False
24,32.90640683564988,2,29.74384410138993,23.63054324693369,74.67873919272276,0.004263252,0.007030066,HOLD,In cooldown (8s remaining),✅ NORMAL LOAD - 33 req/s,False,False
25,32.81928236774391,2,29.691569420646346,23.589159124678357,73.6781499043885,0.0031321815,0.0064500244,HOLD,In cooldown (7s remaining),✅ NORMAL LOAD - 33 req/s,False,False
26,28.682393213783573,2,27.209435928270143,21.624136776547196,73.98302567491046,0.0061557307,0.0069643096,HOLD,In cooldown (6s remaining),💤 LOW LOAD - 29 req/s,False,False
27,22.689714308921317,2,23.613828585352792,18.777614296737624,67.12756117029974,0.021728475,0.014145271,HOLD,In cooldown (5s remaining),💤 LOW LOAD - 23 req/s,False,False
28,27.747877973049643,2,26.648726783829787,21.180242037198582,71.00400794726573,0.0063832863,0.0072852764,HOLD,In cooldown (4s remaining),💤 LOW LOAD - 28 req/s,False,False
29,29.99863291626,2,27.999179749756,22.2493506352235,70.40657072544433,0.004546433,0.009327745,HOLD,In cooldown (3s remaining),💤 LOW LOAD - 30 req/s,False,False
30,25.259846814969745,2,25.155908088981846,19.998427237110626,70.01666245064189,0.00750011,0.009817036,HOLD,In cooldown (2s remaining),💤 LOW LOAD - 25 req/s,False,False
31,22.90267797888643,2,23.741606787331857,18.878772039971054,68.94334180645409,0.017218973,0.03281428,HOLD,In cooldown (1s remaining),💤 LOW LOAD - 23 req/s,False,False
32,25.906190458775807,2,25.543714275265483,20.30544046791851,71.21078586524462,0.007330182,0.011044637,HOLD,In cooldown (0s remaining),💤 LOW LOAD - 26 req/s,False,False
33,40.585054733380574,2,34.35103284002834,27.277900998355772,76.89375737386142,0.0015582406,0.010064248,SCALE_DOWN,Low spike probability (0.00) + Low CPU (25.5%) [HIT MIN LIMIT],✅ NORMAL LOAD - 41 req/s,False,False
34,25.62746158889629,2,25.37647695333777,20.17304425472574,68.01567036437461,0.008812888,0.011627457,HOLD,In cooldown (9s remaining),💤 LOW LOAD - 26 req/s,False,False
35,33.56837165360572,2,30.141022992163432,23.944976535462718,74.27503999922746,0.0038406407,0.014759695,HOLD,In cooldown (8s remaining),✅ NORMAL LOAD - 34 req/s,False,False
36,41.28640170257557,2,34.77184102154534,27.611040808723395,78.55360171620383,0.0027265563,0.00498344,HOLD,In cooldown (7s remaining),✅ NORMAL LOAD - 41 req/s,False,False
37,24.958707539404525,2,24.975224523642716,19.855386081217148,74.46149261817006,0.011467991,0.01027359,HOLD,In cooldown (6s remaining),💤 LOW LOAD - 25 req/s,False,False
38,29.537907997174464,2,27.722744798304678,22.03050629865787,71.33437846476578,0.0066115144,0.0072294814,HOLD,In cooldown (5s remaining),💤 LOW LOAD - 30 req/s,False,False
39,37.682901241842366,2,32.60974074510542,25.899378089875125,75.18629418220421,0.0057720505,0.0059253224,HOLD,In cooldown (4s remaining),✅ NORMAL LOAD - 38 req/s,False,False
40,28.74241573802957,2,27.24544944281774,21.652647475564045,68.7878146850555,0.007469692,0.020723727,HOLD,In cooldown (3s remaining),💤 LOW LOAD - 29 req/s,False,False
41,33.377521296809405,2,30.026512778085642,23.854322615984465,73.69230051304959,0.0047223656,0.007844405,HOLD,In cooldown (2s remaining),✅ NORMAL LOAD - 33 req/s,False,False
42,39.25736231230768,2,33.5544173873846,26.647247098346146,75.09466953602711,0.0066673895,0.0048337067,HOLD,In cooldown (1s remaining),✅ NORMAL LOAD - 39 req/s,False,False
43,31.06388449069729,2,28.638330694418375,22.755345133081214,72.31665445997024,0.008480728,0.0074149612,HOLD,In cooldown (0s remaining),✅ NORMAL LOAD - 31 req/s,False,False
44,29.480716638333742,2,27.688429983000244,22.003340403208526,71.55250738729313,0.0051663537,0.007745174,SCALE_DOWN,Low spike probability (0.01) + Low CPU (28.6%) [HIT MIN LIMIT],💤 LOW LOAD - 29 req/s,False,False
45,34.57124438829014,2,30.742746632974082,24.421341084437817,73.2210487082899,0.0056740977,0.0053969445,HOLD,In cooldown (9s remaining),✅ NORMAL LOAD - 35 req/s,False,False
46,30.67841797811635,2,28.40705078686981,22.572248539605265,73.01566743076998,0.0065632695,0.0061088717,HOLD,In cooldown (8s remaining),✅ NORMAL LOAD - 31 req/s,False,False
47,25.973183301529076,2,25.583909980917447,20.33726206822631,69.10377733003983,0.008944238,0.0064372024,HOLD,In cooldown (7s remaining),💤 LOW LOAD - 26 req/s,False,False
48,29.371503631834408,2,27.622902179100645,21.95146422512134,70.28057823243392,0.004988112,0.0065476745,HOLD,In cooldown (6s remaining),💤 LOW LOAD - 29 req/s,False,False
49,28.452407962559484,2,27.07144477753569,21.514893782215754,72.33348673675309,0.0053784675,0.008555544,HOLD,In cooldown (5s remaining),💤 LOW LOAD - 28 req/s,False,False
50,22.43046996886118,2,23.45828198131671,18.65447323520906,69.13862430010545,0.018490262,0.032463327,HOLD,In cooldown (4s remaining),💤 LOW LOAD - 22 req/s,False,False
51,30.393488677372225,2,28.236093206423334,22.43690712175181,74.52025847609357,0.004671998,0.018634921,HOLD,In cooldown (3s remaining),✅ NORMAL LOAD - 30 req/s,False,False
52,33.23127999861994,2,29.93876799917196,23.78485799934447,73.84791211983931,0.005687228,0.005167626,HOLD,In cooldown (2s remaining),✅ NORMAL LOAD - 33 req/s,False,False
53,29.91559197817253,2,27.949355186903517,22.20990618963195,66.97241505958155,0.005406259,0.008259949,HOLD,In cooldown (1s remaining),💤 LOW LOAD - 30 req/s,False,False
54,29.24223069799246,2,27.545338418795478,21.890059581546417,76.3628839880138,0.0057651424,0.0070417323,HOLD,In cooldown (0s remaining),💤 LOW LOAD - 29 req/s,False,False
55,35.22191161355926,2,31.133146968135552,24.730408016440645,73.0612633903838,0.0039607817,0.005285589,SCALE_DOWN,Low spike probability (0.00) + Low CPU (27.5%) [HIT MIN LIMIT],✅ NORMAL LOAD - 35 req/s,False,False
56,27.83190645980781,2,26.699143875884687,21.22015556840871,69.93024028943726,0.007536049,0.0074040727,HOLD,In cooldown (9s remaining),💤 LOW LOAD - 28 req/s,False,False
57,26.3583746078867,2,25.81502476473202,20.52022793874618,69.7256018277502,0.01037947,0.008577441,HOLD,In cooldown (8s remaining),💤 LOW LOAD - 26 req/s,False,False
58,33.23467763791822,2,29.94080658275093,23.786471878011152,74.77234053770836,0.004583688,0.0090633165,HOLD,In cooldown (7s remaining),✅ NORMAL LOAD - 33 req/s,False,False
59,34.791760733339686,2,30.87505644000381,24.52608634833635,76.73427814622212,0.003768633,0.006127899,HOLD,In cooldown (6s remaining),✅ NORMAL LOAD - 35 req/s,False,False
60,20.0,2,22.0,17.5,66.04324469036122,0.103148095,0.07553596,HOLD,In cooldown (5s remaining),💤 LOW LOAD - 20 req/s,False,False
61,27.837440179881536,2,26.702464107928922,21.222784085443728,73.5265659338232,0.0063584982,0.0073533827,HOLD,In cooldown (4s remaining),💤 LOW LOAD - 28 req/s,False,False
62,34.281380825968064,2,30.56882849558084,24.28365589233483,76.76839511409112,0.005146208,0.006186446,HOLD,In cooldown (3s remaining),✅ NORMAL LOAD - 34 req/s,False,False
63,31.591397153277267,2,28.95483829196636,23.0059136478067,75.58569204239103,0.0045120665,0.007572018,HOLD,In cooldown (2s remaining),✅ NORMAL LOAD - 32 req/s,False,False
64,30.461554108182792,2,28.276932464909674,22.469238201386826,70.69308984120345,0.0065820226,0.010401112,HOLD,In cooldown (1s remaining),✅ NORMAL LOAD - 30 req/s,False,False
65,26.47235969466825,2,25.883415816800948,20.57437085496742,73.05205984665116,0.01253859,0.0075903335,HOLD,In cooldown (0s remaining),💤 LOW LOAD - 26 req/s,False,False
66,28.11652794113949,2,26.869916764683694,21.355350772041255,73.479213726763,0.006618765,0.0064735105,SCALE_DOWN,Low spike probability (0.01) + Low CPU (25.9%) [HIT MIN LIMIT],💤 LOW LOAD - 28 req/s,False,False
67,41.66276228028142,2,34.99765736816885,27.789812083133672,80.28281158309271,0.0033443782,0.0047299583,HOLD,In cooldown (9s remaining),✅ NORMAL LOAD - 42 req/s,False,False
68,20.302070823186703,2,22.181242493912023,17.64348364101368,67.5449002955764,0.14647765,0.056704514,HOLD,In cooldown (8s remaining),💤 LOW LOAD - 20 req/s,False,False
69,28.143526528371385,2,26.88611591702283,21.36817510097641,67.66467710233434,0.006675862,0.015280373,HOLD,In cooldown (7s remaining),💤 LOW LOAD - 28 req/s,False,False
70,30.103049666777046,2,28.061829800066228,22.298948591719096,73.40852302257545,0.0064240564,0.0072976705,HOLD,In cooldown (6s remaining),✅ NORMAL LOAD - 30 req/s,False,False
