time,action,reason,pods,spike_desc,cpu,latency,prob_30s,prob_60s
0,SCALE_DOWN,Low spike probability (0.00) + Low CPU (20.0%),4,✅ NORMAL LOAD - 32 req/s,19.67913201330306,67.12194355728042,0.0037050238,0.0052202693
1,HOLD,In cooldown (9s remaining),4,✅ NORMAL LOAD - 32 req/s,19.71219126774281,62.84402205495857,0.0036477125,0.005781507
11,SCALE_DOWN,Low spike probability (0.12) + Low CPU (22.0%),3,💤 LOW LOAD - 20 req/s,18.0,67.97518193686231,0.121149406,0.055233527
12,HOLD,In cooldown (9s remaining),3,💤 LOW LOAD - 29 req/s,21.6020267164265,66.86480039533882,0.005588155,0.0066203144
22,SCALE_DOWN,Low spike probability (0.01) + Low CPU (21.5%) [HIT MIN LIMIT],2,💤 LOW LOAD - 28 req/s,26.80359815164856,70.66124884268015,0.0058270185,0.005892046
23,HOLD,In cooldown (9s remaining),2,💤 LOW LOAD - 28 req/s,27.014471550963616,73.4226577096989,0.006713787,0.005899782
33,SCALE_DOWN,Low spike probability (0.00) + Low CPU (25.5%) [HIT MIN LIMIT],2,✅ NORMAL LOAD - 41 req/s,34.35103284002834,76.89375737386142,0.0015582406,0.010064248
34,HOLD,In cooldown (9s remaining),2,💤 LOW LOAD - 26 req/s,25.37647695333777,68.01567036437461,0.008812888,0.011627457
44,SCALE_DOWN,Low spike probability (0.01) + Low CPU (28.6%) [HIT MIN LIMIT],2,💤 LOW LOAD - 29 req/s,27.688429983000244,71.55250738729313,0.0051663537,0.007745174
45,HOLD,In cooldown (9s remaining),2,✅ NORMAL LOAD - 35 req/s,30.742746632974082,73.2210487082899,0.0056740977,0.0053969445
55,SCALE_DOWN,Low spike probability (0.00) + Low CPU (27.5%) [HIT MIN LIMIT],2,✅ NORMAL LOAD - 35 req/s,31.133146968135552,73.0612633903838,0.0039607817,0.005285589
56,HOLD,In cooldown (9s remaining),2,💤 LOW LOAD - 28 req/s,26.699143875884687,69.93024028943726,0.007536049,0.0074040727
66,SCALE_DOWN,Low spike probability (0.01) + Low CPU (25.9%) [HIT MIN LIMIT],2,💤 LOW LOAD - 28 req/s,26.869916764683694,73.479213726763,0.006618765,0.0064735105
67,HOLD,In cooldown (9s remaining),2,✅ NORMAL LOAD - 42 req/s,34.99765736816885,80.28281158309271,0.0033443782,0.0047299583
77,SCALE_DOWN,Low spike probability (0.01) + Low CPU (25.2%) [HIT MIN LIMIT],2,💤 LOW LOAD - 26 req/s,25.462399269432073,71.2533767037973,0.0073884623,0.009917218
78,HOLD,In cooldown (9s remaining),2,💤 LOW LOAD - 27 req/s,26.352515575994794,69.68720657459916,0.007790154,0.010794552
88,SCALE_DOWN,Low spike probability (0.01) + Low CPU (28.3%) [HIT MIN LIMIT],2,💤 LOW LOAD - 25 req/s,24.731198914045024,70.15950237395877,0.0131970085,0.023459073
89,HOLD,In cooldown (9s remaining),2,💤 LOW LOAD - 28 req/s,26.96983107772601,70.13974550356794,0.008342163,0.021578193
99,SCALE_DOWN,Low spike probability (0.01) + Low CPU (27.4%) [HIT MIN LIMIT],2,💤 LOW LOAD - 26 req/s,25.799990640504284,68.56682087103393,0.0068972893,0.011554146
100,HOLD,In cooldown (9s remaining),2,💤 LOW LOAD - 23 req/s,23.88522170812353,68.84090487353846,0.011214435,0.030009864
110,SCALE_DOWN,Low spike probability (0.00) + Low CPU (24.6%) [HIT MIN LIMIT],2,💤 LOW LOAD - 30 req/s,27.79462335903737,72.52015782966943,0.0038846908,0.010921426
111,HOLD,In cooldown (9s remaining),2,💤 LOW LOAD - 28 req/s,26.528384901697784,70.92633058321006,0.0060792766,0.010456383
121,SCALE_DOWN,Low spike probability (0.07) + Low CPU (25.7%) [HIT MIN LIMIT],2,💤 LOW LOAD - 21 req/s,22.76772980606472,69.51597773455791,0.06721822,0.07835737
122,HOLD,In cooldown (9s remaining),2,💤 LOW LOAD - 25 req/s,25.104253408175374,69.1751814321034,0.006402177,0.01319966
134,SCALE_DOWN,Low spike probability (0.01) + Low CPU (26.0%) [HIT MIN LIMIT],2,💤 LOW LOAD - 24 req/s,24.494775553405294,72.8479366236555,0.009614186,0.021799462
135,HOLD,In cooldown (9s remaining),2,💤 LOW LOAD - 28 req/s,26.980925930330923,72.30704068845259,0.0063490784,0.02327543
