time,request_rate,pods,cpu,memory,latency,prob_30s,prob_60s,action,reason,spike_desc,latency_violation,cpu_overload
0,35.0,4,20.5,16.3125,68.36958696508506,0.010724614,0.009019551,SCALE_DOWN,Low spike probability (0.01) + Low CPU (20.0%),✅ NORMAL LOAD - 35 req/s,False,False
1,35.0,4,20.5,16.3125,67.98218157038195,0.011239923,0.010014549,HOLD,In cooldown (9s remaining),✅ NORMAL LOAD - 35 req/s,False,False
2,35.0,4,20.5,16.3125,65.3649906541667,0.010056227,0.009588441,HOLD,In cooldown (8s remaining),✅ NORMAL LOAD - 35 req/s,False,False
3,35.0,4,20.5,16.3125,68.77213947029195,0.013359466,0.010557754,HOLD,In cooldown (7s remaining),✅ NORMAL LOAD - 35 req/s,False,False
4,35.0,4,20.5,16.3125,65.69948291111335,0.011030188,0.011422134,HOLD,In cooldown (6s remaining),✅ NORMAL LOAD - 35 req/s,False,False
5,35.0,4,20.5,16.3125,63.0642934085409,0.009345541,0.009397383,HOLD,In cooldown (5s remaining),✅ NORMAL LOAD - 35 req/s,False,False
6,35.0,4,20.5,16.3125,67.18063260319042,0.014277336,0.01136504,HOLD,In cooldown (4s remaining),✅ NORMAL LOAD - 35 req/s,False,False
7,35.0,4,20.5,16.3125,65.39388365705457,0.010682167,0.009213521,HOLD,In cooldown (3s remaining),✅ NORMAL LOAD - 35 req/s,False,False
8,35.0,4,20.5,16.3125,61.749491891830814,0.009735842,0.009930125,HOLD,In cooldown (2s remaining),✅ NORMAL LOAD - 35 req/s,False,False
9,35.0,4,20.5,16.3125,63.870418808862325,0.010720922,0.008534327,HOLD,In cooldown (1s remaining),✅ NORMAL LOAD - 35 req/s,False,False
10,35.0,4,20.5,16.3125,67.87493978647795,0.011047876,0.009146802,HOLD,In cooldown (0s remaining),✅ NORMAL LOAD - 35 req/s,False,False
11,35.0,3,24.0,19.083333333333332,67.45081609302278,0.015725303,0.0118488595,SCALE_DOWN,Low spike probability (0.02) + Low CPU (20.5%),✅ NORMAL LOAD - 35 req/s,False,False
12,35.0,3,24.0,19.083333333333332,67.00947753576989,0.00974056,0.010169389,HOLD,In cooldown (9s remaining),✅ NORMAL LOAD - 35 req/s,False,False
13,35.0,3,24.0,19.083333333333332,70.19232150622337,0.014484311,0.010707785,HOLD,In cooldown (8s remaining),✅ NORMAL LOAD - 35 req/s,False,False
14,35.0,3,24.0,19.083333333333332,67.39854370435485,0.010747682,0.009075663,HOLD,In cooldown (7s remaining),✅ NORMAL LOAD - 35 req/s,False,False
15,35.0,3,24.0,19.083333333333332,67.83036492066222,0.010747682,0.009116113,HOLD,In cooldown (6s remaining),✅ NORMAL LOAD - 35 req/s,False,False
16,35.0,3,24.0,19.083333333333332,70.0367343087835,0.009929441,0.011351339,HOLD,In cooldown (5s remaining),✅ NORMAL LOAD - 35 req/s,False,False
17,35.0,3,24.0,19.083333333333332,71.0777679752477,0.010741333,0.008428362,HOLD,In cooldown (4s remaining),✅ NORMAL LOAD - 35 req/s,False,False
18,35.0,3,24.0,19.083333333333332,69.1456215693017,0.010908727,0.009598177,HOLD,In cooldown (3s remaining),✅ NORMAL LOAD - 35 req/s,False,False
19,35.0,3,24.0,19.083333333333332,70.57819738884756,0.01310001,0.0103094485,HOLD,In cooldown (2s remaining),✅ NORMAL LOAD - 35 req/s,False,False
20,35.0,3,24.0,19.083333333333332,64.62516867221493,0.010878372,0.008840988,HOLD,In cooldown (1s remaining),✅ NORMAL LOAD - 35 req/s,False,False
21,35.0,3,24.0,19.083333333333332,70.38191240954495,0.012532311,0.010804842,HOLD,In cooldown (0s remaining),✅ NORMAL LOAD - 35 req/s,False,False
22,35.0,2,31.0,24.625,72.49533392499607,0.012721361,0.010716725,SCALE_DOWN,Low spike probability (0.01) + Low CPU (24.0%) [HIT MIN LIMIT],✅ NORMAL LOAD - 35 req/s,False,False
23,35.0,2,31.0,24.625,73.19779818493589,0.009125253,0.009777987,HOLD,In cooldown (9s remaining),✅ NORMAL LOAD - 35 req/s,False,False
24,35.0,2,31.0,24.625,72.99975724621125,0.010056227,0.010131086,HOLD,In cooldown (8s remaining),✅ NORMAL LOAD - 35 req/s,False,False
25,35.0,2,31.0,24.625,74.71728687039649,0.012559217,0.010871939,HOLD,In cooldown (7s remaining),✅ NORMAL LOAD - 35 req/s,False,False
26,35.0,2,31.0,24.625,75.38964178156473,0.012539865,0.008534327,HOLD,In cooldown (6s remaining),✅ NORMAL LOAD - 35 req/s,False,False
27,35.0,2,31.0,24.625,73.43355777550852,0.010720922,0.008534327,HOLD,In cooldown (5s remaining),✅ NORMAL LOAD - 35 req/s,False,False
28,35.0,2,31.0,24.625,73.62888725736754,0.009345541,0.009623935,HOLD,In cooldown (4s remaining),✅ NORMAL LOAD - 35 req/s,False,False
29,35.0,2,31.0,24.625,77.61979747655471,0.010724614,0.009019551,HOLD,In cooldown (3s remaining),✅ NORMAL LOAD - 35 req/s,False,False
30,35.0,2,31.0,24.625,75.41048199684782,0.014194088,0.011414389,HOLD,In cooldown (2s remaining),✅ NORMAL LOAD - 35 req/s,False,False
31,35.0,2,31.0,24.625,75.25168593459068,0.010720922,0.008534327,HOLD,In cooldown (1s remaining),✅ NORMAL LOAD - 35 req/s,False,False
32,35.0,2,31.0,24.625,74.16633472041174,0.009934608,0.00888723,HOLD,In cooldown (0s remaining),✅ NORMAL LOAD - 35 req/s,False,False
33,35.0,2,31.0,24.625,71.90720673760119,0.010115456,0.009414995,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
34,35.0,2,31.0,24.625,75.62622842323762,0.010886697,0.0087044,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
35,35.0,2,31.0,24.625,73.06144380453198,0.014015871,0.011476048,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
