time,request_rate,pods,cpu,memory,latency,prob_30s,prob_60s,action,reason,spike_desc,latency_violation,cpu_overload
0,40.0,4,22.0,17.5,67.58588077104241,0.007358699,0.009342892,SCALE_DOWN,Low spike probability (0.01) + Low CPU (20.0%),✅ NORMAL LOAD - 40 req/s,False,False
1,40.0,4,22.0,17.5,66.49364474488404,0.010455811,0.008825538,HOLD,In cooldown (9s remaining),✅ NORMAL LOAD - 40 req/s,False,False
2,40.0,4,22.0,17.5,67.31556574412605,0.010897238,0.00823955,HOLD,In cooldown (8s remaining),✅ NORMAL LOAD - 40 req/s,False,False
3,40.0,4,22.0,17.5,65.10325758562057,0.012124812,0.008617617,HOLD,In cooldown (7s remaining),✅ NORMAL LOAD - 40 req/s,False,False
4,40.0,4,22.0,17.5,72.96621645094967,0.009066362,0.010036674,HOLD,In cooldown (6s remaining),✅ NORMAL LOAD - 40 req/s,False,False
5,40.0,4,22.0,17.5,67.77991536150085,0.013024676,0.008075914,HOLD,In cooldown (5s remaining),✅ NORMAL LOAD - 40 req/s,False,False
6,40.0,4,22.0,17.5,66.31912371920558,0.010677193,0.0083027175,HOLD,In cooldown (4s remaining),✅ NORMAL LOAD - 40 req/s,False,False
7,40.0,4,22.0,17.5,65.3608686279762,0.011791098,0.007806561,HOLD,In cooldown (3s remaining),✅ NORMAL LOAD - 40 req/s,False,False
8,40.0,4,22.0,17.5,64.20292482253844,0.0087169325,0.008671656,HOLD,In cooldown (2s remaining),✅ NORMAL LOAD - 40 req/s,False,False
9,40.0,4,22.0,17.5,68.60286018626935,0.010130049,0.01088296,HOLD,In cooldown (1s remaining),✅ NORMAL LOAD - 40 req/s,False,False
10,40.0,4,22.0,17.5,68.71655084911076,0.010897238,0.0078902,HOLD,In cooldown (0s remaining),✅ NORMAL LOAD - 40 req/s,False,False
11,40.0,3,26.0,20.666666666666664,70.80738980574854,0.011642695,0.008219603,SCALE_DOWN,Low spike probability (0.01) + Low CPU (22.0%),✅ NORMAL LOAD - 40 req/s,False,False
12,40.0,3,26.0,20.666666666666664,71.60413293679572,0.01563824,0.009053839,HOLD,In cooldown (9s remaining),✅ NORMAL LOAD - 40 req/s,False,False
13,40.0,3,26.0,20.666666666666664,70.4842217867578,0.007800458,0.008225515,HOLD,In cooldown (8s remaining),✅ NORMAL LOAD - 40 req/s,False,False
14,40.0,3,26.0,20.666666666666664,71.44504911250687,0.008284638,0.011171466,HOLD,In cooldown (7s remaining),✅ NORMAL LOAD - 40 req/s,False,False
15,40.0,3,26.0,20.666666666666664,69.22550372961791,0.015714878,0.009682645,HOLD,In cooldown (6s remaining),✅ NORMAL LOAD - 40 req/s,False,False
16,40.0,3,26.0,20.666666666666664,74.31156462883528,0.011105003,0.008179786,HOLD,In cooldown (5s remaining),✅ NORMAL LOAD - 40 req/s,False,False
17,40.0,3,26.0,20.666666666666664,72.44424859396995,0.009962587,0.010572838,HOLD,In cooldown (4s remaining),✅ NORMAL LOAD - 40 req/s,False,False
18,40.0,3,26.0,20.666666666666664,70.29457520351542,0.007358699,0.008633781,HOLD,In cooldown (3s remaining),✅ NORMAL LOAD - 40 req/s,False,False
19,40.0,3,26.0,20.666666666666664,68.50334705003212,0.013504977,0.009924263,HOLD,In cooldown (2s remaining),✅ NORMAL LOAD - 40 req/s,False,False
20,40.0,3,26.0,20.666666666666664,67.97813954210098,0.0076891794,0.01259559,HOLD,In cooldown (1s remaining),✅ NORMAL LOAD - 40 req/s,False,False
21,40.0,3,26.0,20.666666666666664,66.19847143793015,0.010769012,0.0076669743,HOLD,In cooldown (0s remaining),✅ NORMAL LOAD - 40 req/s,False,False
22,40.0,2,34.0,27.0,78.33328101808635,0.014017064,0.012924249,SCALE_DOWN,Low spike probability (0.01) + Low CPU (26.0%) [HIT MIN LIMIT],✅ NORMAL LOAD - 40 req/s,False,False
23,40.0,2,34.0,27.0,71.58990645075794,0.0099556325,0.009106561,HOLD,In cooldown (9s remaining),✅ NORMAL LOAD - 40 req/s,False,False
24,40.0,2,34.0,27.0,76.75551657305145,0.007800458,0.008225515,HOLD,In cooldown (8s remaining),✅ NORMAL LOAD - 40 req/s,False,False
25,40.0,2,34.0,27.0,75.91808197532536,0.009783114,0.0078902,HOLD,In cooldown (7s remaining),✅ NORMAL LOAD - 40 req/s,False,False
26,40.0,2,34.0,27.0,71.24899669678408,0.011105003,0.008270875,HOLD,In cooldown (6s remaining),✅ NORMAL LOAD - 40 req/s,False,False
27,40.0,2,34.0,27.0,79.95624960246508,0.011502932,0.008994006,HOLD,In cooldown (5s remaining),✅ NORMAL LOAD - 40 req/s,False,False
